Date,Price,Open,High,Low,Vol.,Change %
08/02/2025,114033.4,113297.9,114057.3,113209.2,20.25K,0.63%
08/01/2025,113317.9,115764.1,116052.0,112728.2,24.49K,-2.11%
07/31/2025,115758.5,117840.3,118920.0,115500.0,17.01K,-1.77%
07/30/2025,117840.3,117950.8,118785.0,115796.2,15.59K,-0.09%
07/29/2025,117950.8,118062.3,119253.5,116999.3,15.14K,-0.09%
07/28/2025,118052.8,119443.8,119781.0,117427.5,13.96K,-1.11%
07/27/2025,119383.0,117920.0,119766.6,117825.5,9.33K,1.25%
07/26/2025,117905.0,117614.3,118273.7,117150.0,6.99K,0.23%
07/25/2025,117629.9,118298.2,118451.6,114734.0,38.40K,-0.56%
07/24/2025,118292.0,118756.0,119444.2,117112.0,15.81K,-0.39%
07/23/2025,118755.7,119947.8,120079.6,117301.0,14.56K,-1.00%
07/22/2025,119954.4,117380.4,120247.8,116208.9,20.96K,2.19%
07/21/2025,117380.4,117265.1,119632.3,116537.1,17.11K,0.08%
07/20/2025,117292.2,117875.5,118856.7,116497.0,12.96K,-0.46%
07/19/2025,117840.0,117933.4,118499.0,117283.2,6.64K,-0.07%
07/18/2025,117924.8,119177.6,120790.7,116825.2,19.92K,-1.05%
07/17/2025,119170.5,118651.1,120944.0,117480.5,15.73K,0.42%
07/16/2025,118667.0,117758.1,120025.2,117019.7,17.04K,0.77%
07/15/2025,117758.1,119841.2,119940.8,115770.0,32.02K,-1.74%
07/14/2025,119841.2,119088.4,123100.0,118905.2,27.27K,0.63%
07/13/2025,119086.6,117431.7,119438.9,117224.8,9.55K,1.44%
07/12/2025,117400.9,117527.7,118200.0,116940.0,8.45K,-0.11%
07/11/2025,117527.7,116025.6,118837.0,115252.6,25.88K,1.33%
07/10/2025,115983.7,111253.9,116689.1,110619.5,24.88K,4.27%
07/09/2025,111234.0,108923.0,111915.3,108324.5,17.28K,2.14%
07/08/2025,108907.7,108250.3,109216.5,107449.5,9.22K,0.60%
07/07/2025,108263.0,109220.9,109700.0,107525.8,9.41K,-0.86%
07/06/2025,109203.8,108198.1,109699.7,107815.2,6.45K,0.93%
07/05/2025,108198.1,107984.3,108354.1,107797.6,3.74K,0.20%
07/04/2025,107984.3,109597.5,109711.5,107256.8,11.80K,-1.47%
07/03/2025,109592.7,108849.6,110495.9,108548.4,13.05K,0.69%
07/02/2025,108839.1,105681.1,109719.4,105130.2,17.69K,2.99%
07/01/2025,105681.1,107146.5,107524.7,105276.1,10.51K,-1.39%
06/30/2025,107176.2,108373.6,108770.0,106733.3,9.75K,-1.09%
06/29/2025,108356.9,107296.8,108502.9,107180.0,6.83K,0.99%
06/28/2025,107296.8,107057.1,107536.6,106811.5,3.29K,0.25%
06/27/2025,107030.3,106954.2,107735.3,106398.0,12.23K,0.09%
06/26/2025,106932.8,107340.6,108252.2,106630.0,10.57K,-0.38%
06/25/2025,107340.6,106083.0,108133.4,105812.5,16.70K,1.19%
06/24/2025,106075.0,105350.0,106263.1,104625.0,14.66K,0.67%
06/23/2025,105367.8,100874.1,106026.0,99700.2,27.66K,4.34%
06/22/2025,100982.8,102132.0,103296.0,98216.5,28.76K,-1.08%
06/21/2025,102089.4,103298.0,103982.6,100983.2,11.14K,-1.15%
06/20/2025,103277.0,104668.0,106518.6,102374.7,16.42K,-1.33%
06/19/2025,104664.2,104886.8,105220.0,103929.3,7.68K,-0.21%
06/18/2025,104886.8,104572.0,105550.3,103613.1,13.97K,0.32%
06/17/2025,104551.2,106810.0,107750.0,103382.4,17.87K,-2.05%
06/16/2025,106742.8,105597.1,108927.6,105000.0,14.92K,1.09%
06/15/2025,105594.0,105425.9,106108.0,104500.0,7.16K,0.17%
06/14/2025,105414.6,106066.6,106189.4,104311.6,8.80K,-0.62%
06/13/2025,106069.3,105648.0,106155.2,102686.0,26.20K,0.36%
06/12/2025,105691.9,108645.1,108786.8,105691.9,17.77K,-2.73%
06/11/2025,108657.5,110274.4,110372.8,108064.0,13.11K,-1.46%
06/10/2025,110268.0,110263.0,110379.0,108377.4,17.08K,0.00%
06/09/2025,110263.0,105716.9,110464.5,105325.6,19.97K,4.28%
06/08/2025,105734.1,105552.2,106487.8,105014.6,8.05K,0.17%
06/07/2025,105552.2,104312.8,105900.0,103889.4,8.35K,1.21%
06/06/2025,104288.4,101505.0,105298.5,101101.1,15.84K,2.74%
06/05/2025,101508.7,104707.5,105909.7,100403.0,22.32K,-3.03%
06/04/2025,104683.5,105333.3,105958.7,104225.6,14.04K,-0.66%
06/03/2025,105376.9,105822.4,106746.6,104887.0,13.26K,-0.43%
06/02/2025,105831.7,105647.8,105935.6,103686.8,13.45K,0.19%
06/01/2025,105629.2,104634.1,105866.9,103762.4,9.71K,0.99%
05/31/2025,104591.9,103983.1,104900.0,103075.0,11.29K,0.58%
05/30/2025,103990.6,105580.1,106313.1,103673.6,23.71K,-1.50%
05/29/2025,105571.4,107789.2,108891.9,105413.5,19.83K,-2.05%
05/28/2025,107781.8,108938.2,109261.7,106803.3,15.63K,-1.06%
