Date,Price,Open,High,Low,Vol.,Change %
08/02/2025,3527.31,3487.70,3531.79,3479.46,705.10K,1.12%
08/01/2025,3488.21,3697.93,3723.94,3433.63,783.90K,-5.68%
07/31/2025,3698.35,3810.00,3877.84,3685.23,516.40K,-2.90%
07/30/2025,3809.00,3794.26,3834.00,3682.00,525.08K,0.40%
07/29/2025,3793.80,3799.00,3885.02,3717.26,584.48K,-0.08%
07/28/2025,3796.91,3872.19,3940.94,3755.35,620.68K,-1.93%
07/27/2025,3871.56,3741.41,3878.34,3732.31,457.34K,3.49%
07/26/2025,3740.94,3725.03,3792.06,3701.30,407.25K,0.43%
07/25/2025,3725.02,3707.28,3744.99,3577.61,764.62K,0.56%
07/24/2025,3704.18,3628.45,3770.97,3509.29,749.36K,2.13%
07/23/2025,3626.77,3744.63,3763.58,3529.36,800.08K,-3.18%
07/22/2025,3745.78,3762.87,3798.65,3620.79,870.13K,-0.42%
07/21/2025,3761.49,3756.70,3855.88,3702.32,812.08K,0.11%
07/20/2025,3757.45,3593.74,3818.70,3579.14,852.34K,4.60%
07/19/2025,3592.05,3546.93,3607.68,3509.99,381.79K,1.31%
07/18/2025,3545.60,3478.49,3672.84,3462.76,1.16M,2.10%
07/17/2025,3472.80,3372.80,3520.81,3315.34,974.19K,2.91%
07/16/2025,3374.50,3137.89,3424.00,3101.16,1.14M,7.51%
07/15/2025,3138.83,3013.61,3141.62,2935.09,863.34K,4.15%
07/14/2025,3013.62,2972.44,3081.61,2963.35,815.55K,1.40%
07/13/2025,2971.92,2943.33,3019.36,2937.67,357.34K,1.00%
07/12/2025,2942.42,2958.21,2979.39,2904.98,348.90K,-0.52%
07/11/2025,2957.85,2951.40,3038.89,2916.51,907.98K,0.22%
07/10/2025,2951.28,2768.75,2999.39,2756.06,950.79K,6.61%
07/09/2025,2768.34,2615.25,2792.95,2590.34,686.17K,5.89%
07/08/2025,2614.47,2542.29,2627.15,2523.98,370.80K,2.84%
07/07/2025,2542.30,2570.79,2589.29,2517.86,315.71K,-1.10%
07/06/2025,2570.55,2516.41,2600.69,2503.63,277.60K,2.15%
07/05/2025,2516.34,2508.04,2529.66,2487.96,157.19K,0.33%
07/04/2025,2508.04,2591.26,2601.00,2474.63,452.72K,-3.20%
07/03/2025,2591.01,2571.27,2633.70,2557.31,504.90K,0.80%
07/02/2025,2570.42,2405.00,2618.24,2382.19,634.89K,6.87%
07/01/2025,2405.22,2485.46,2500.00,2389.61,352.09K,-3.27%
06/30/2025,2486.64,2500.49,2522.00,2435.35,440.43K,-0.56%
06/29/2025,2500.67,2435.62,2522.78,2414.06,284.27K,2.67%
06/28/2025,2435.61,2423.20,2447.75,2406.31,156.02K,0.54%
06/27/2025,2422.64,2415.32,2462.87,2389.02,381.29K,0.28%
06/26/2025,2415.80,2418.59,2520.24,2394.33,463.70K,-0.11%
06/25/2025,2418.49,2448.52,2467.11,2393.46,415.15K,-1.24%
06/24/2025,2448.81,2413.23,2479.15,2377.17,516.64K,1.59%
06/23/2025,2410.40,2226.21,2431.37,2189.67,744.47K,8.20%
06/22/2025,2227.70,2305.00,2312.99,2115.47,840.16K,-2.97%
06/21/2025,2295.95,2405.19,2448.10,2220.01,496.78K,-4.59%
06/20/2025,2406.50,2521.31,2568.69,2377.26,632.03K,-4.55%
06/19/2025,2521.12,2524.68,2546.25,2485.04,252.65K,-0.17%
06/18/2025,2525.38,2510.87,2545.62,2468.26,504.68K,0.63%
06/17/2025,2509.51,2543.89,2616.80,2455.90,716.52K,-1.16%
06/16/2025,2539.00,2547.69,2678.87,2516.91,680.16K,-0.34%
06/15/2025,2547.61,2531.64,2557.71,2493.11,299.71K,0.64%
06/14/2025,2531.39,2573.15,2574.15,2491.20,331.41K,-1.84%
