"Date(UTC)","UnixTimeStamp","Value (Wei)"
"5/28/2021","1622160000","0"
"5/29/2021","1622246400","420000000"
"5/30/2021","1622332800","420000000"
"5/31/2021","1622419200","387212527"
"6/1/2021","1622505600","336296373"
"6/2/2021","1622592000","317868435"
"6/3/2021","1622678400","295029322"
"6/4/2021","1622764800","276166769"
"6/5/2021","1622851200","238626138"
"6/6/2021","1622937600","216686803"
"6/7/2021","1623024000","197184778"
"6/8/2021","1623110400","196139935"
"6/9/2021","1623196800","196139935"
"6/10/2021","1623283200","191974228"
"6/11/2021","1623369600","190832938"
"6/12/2021","1623456000","190832938"
"6/13/2021","1623542400","190832938"
"6/14/2021","1623628800","190832938"
"6/15/2021","1623715200","141309949"
"6/16/2021","1623801600","127330414"
"6/17/2021","1623888000","135843439"
"6/18/2021","1623974400","140270248"
"6/19/2021","1624060800","140656864"
"6/20/2021","1624147200","134486072"
"6/21/2021","1624233600","155610312"
"6/22/2021","1624320000","230924254"
"6/23/2021","1624406400","250522718"
"6/24/2021","1624492800","192587010"
"6/25/2021","1624579200","172152897"
"6/26/2021","1624665600","168350669"
"6/27/2021","1624752000","143682935"
"6/28/2021","1624838400","134269316"
"6/29/2021","1624924800","133289094"
"6/30/2021","1625011200","133289094"
"7/1/2021","1625097600","133289094"
"7/2/2021","1625184000","133289094"
"7/3/2021","1625270400","133289094"
"7/4/2021","1625356800","133289094"
"7/5/2021","1625443200","133289094"
"7/6/2021","1625529600","174751026"
"7/7/2021","1625616000","382311205"
"7/8/2021","1625702400","356026796"
"7/9/2021","1625788800","340658986"
"7/10/2021","1625875200","284008995"
"7/11/2021","1625961600","251193414"
"7/12/2021","1626048000","249205972"
"7/13/2021","1626134400","249205972"
"7/14/2021","1626220800","249205972"
"7/15/2021","1626307200","249205972"
"7/16/2021","1626393600","249205972"
"7/17/2021","1626480000","249205972"
"7/18/2021","1626566400","249205972"
"7/19/2021","1626652800","249205972"
"7/20/2021","1626739200","249205972"
"7/21/2021","1626825600","190740351"
"7/22/2021","1626912000","177893746"
"7/23/2021","1626998400","177893746"
"7/24/2021","1627084800","177893746"
"7/25/2021","1627171200","177893746"
"7/26/2021","1627257600","177893746"
"7/27/2021","1627344000","177893746"
"7/28/2021","1627430400","177893746"
"7/29/2021","1627516800","177893746"
"7/30/2021","1627603200","187844478"
"7/31/2021","1627689600","236895845"
"8/1/2021","1627776000","261461767"
"8/2/2021","1627862400","288250120"
"8/3/2021","1627948800","306116017"
"8/4/2021","1628035200","313398456"
"8/5/2021","1628121600","348251909"
"8/6/2021","1628208000","393024910"
"8/7/2021","1628294400","398973192"
"8/8/2021","1628380800","460795339"
"8/9/2021","1628467200","425277287"
"8/10/2021","1628553600","440196490"
"8/11/2021","1628640000","433917020"
"8/12/2021","1628726400","417360357"
"8/13/2021","1628812800","404554933"
"8/14/2021","1628899200","426542696"
"8/15/2021","1628985600","415111914"
"8/16/2021","1629072000","497991675"
"8/17/2021","1629158400","466838594"
"8/18/2021","1629244800","457979752"
"8/19/2021","1629331200","429592829"
"8/20/2021","1629417600","420498013"
"8/21/2021","1629504000","384096369"
"8/22/2021","1629590400","362815393"
"8/23/2021","1629676800","423113426"
"8/24/2021","1629763200","555577836"
"8/25/2021","1629849600","632684522"
"8/26/2021","1629936000","672451057"
"8/27/2021","1630022400","811603836"
"8/28/2021","1630108800","930509339"
"8/29/2021","1630195200","954936611"
"8/30/2021","1630281600","896297977"
"8/31/2021","1630368000","1076861817"
"9/1/2021","1630454400","1112855224"
"9/2/2021","1630540800","1114689084"
"9/3/2021","1630627200","1204887743"
"9/4/2021","1630713600","1246033588"
"9/5/2021","1630800000","1140697946"
"9/6/2021","1630886400","1100287208"
"9/7/2021","1630972800","1117451037"
"9/8/2021","1631059200","1299182720"
"9/9/2021","1631145600","1390445940"
"9/10/2021","1631232000","1160690362"
"9/11/2021","1631318400","903199059"
"9/12/2021","1631404800","8890471633"
"9/13/2021","1631491200","706491994"
"9/14/2021","1631577600","1421843498"
"9/15/2021","1631664000","647808410"
"9/16/2021","1631750400","668943812"
"9/17/2021","1631836800","713204426"
"9/18/2021","1631923200","642970854"
"9/19/2021","1632009600","553070284"
"9/20/2021","1632096000","613082519"
"9/21/2021","1632182400","707625618"
"9/22/2021","1632268800","763974663"
"9/23/2021","1632355200","690370057"
"9/24/2021","1632441600","657965118"
"9/25/2021","1632528000","603525801"
"9/26/2021","1632614400","543555085"
"9/27/2021","1632700800","575714936"
"9/28/2021","1632787200","732029646"
"9/29/2021","1632873600","730426432"
"9/30/2021","1632960000","792504162"
"10/1/2021","1633046400","826272032"
"10/2/2021","1633132800","722768093"
"10/3/2021","1633219200","644183207"
"10/4/2021","1633305600","691447609"
"10/5/2021","1633392000","852568090"
"10/6/2021","1633478400","1008825913"
"10/7/2021","1633564800","1119414687"
"10/8/2021","1633651200","1134198474"
"10/9/2021","1633737600","1014065774"
"10/10/2021","1633824000","846021747"
"10/11/2021","1633910400","883028871"
"10/12/2021","1633996800","907500269"
"10/13/2021","1634083200","846980931"
"10/14/2021","1634169600","936072452"
"10/15/2021","1634256000","1068897653"
"10/16/2021","1634342400","991937015"
"10/17/2021","1634428800","817584442"
"10/18/2021","1634515200","780170096"
"10/19/2021","1634601600","735103877"
"10/20/2021","1634688000","727292323"
"10/21/2021","1634774400","781410069"
"10/22/2021","1634860800","762872423"
