DATE,TRANSACTION_COUNT,AVG_GAS_PRICE_GWEI,MEDIAN_GAS_PRICE_GWEI,MIN_GAS_PRICE_GWEI,MAX_GAS_PRICE_GWEI,P25_GAS_PRICE_GWEI,P75_GAS_PRICE_GWEI,AVG_EFFECTIVE_GAS_PRICE_GWEI,MEDIAN_EFFECTIVE_GAS_PRICE_GWEI,TOTAL_GAS_USED
2020-01-01T00:00:00.000Z,456132,11.69,7,0,159015,3,15,11.69,7,36283514949
2020-01-02T00:00:00.000Z,489362,10.44,6,0,15731.83,2,12,10.44,6,36439087592
2020-01-03T00:00:00.000Z,572324,11.53,8,0,11287.46,2,16,11.53,8,41500600197
2020-01-04T00:00:00.000Z,550417,9.66,5,0,44948.1,1.5,12,9.66,5,37875377617
2020-01-05T00:00:00.000Z,514284,9.76,5,0,19790.28,1.5,12,9.76,5,37369316247
2020-01-06T00:00:00.000Z,616714,11.01,7,0,13224.22,2,15,11.01,7,42406981920
2020-01-07T00:00:00.000Z,635041,10.48,6,0,4724.76,2,12,10.48,6,43884758825
2020-01-08T00:00:00.000Z,640242,11.4,8,0,1287.13,3,15,11.4,8,45616161480
2020-01-09T00:00:00.000Z,607284,10.87,6.9,0,3176.12,2,13,10.87,6.9,40799268169
2020-01-10T00:00:00.000Z,591067,12.28,8,0,139338.15,3,15.18,12.28,8,44333039201
2020-01-11T00:00:00.000Z,536441,11.19,8,0,60000,2,14.1,11.19,8,39473812413
2020-01-12T00:00:00.000Z,512489,10.94,8,0,1848.38,2,12,10.94,8,37421252999
2020-01-13T00:00:00.000Z,553051,11.08,7,0,108000,2,12,11.08,7,43219751892
2020-01-14T00:00:00.000Z,657842,15.76,8,0,2056835.81,3.6,13,15.76,8,46506409708
2020-01-15T00:00:00.000Z,685142,11.18,8,0,35157.35,3,12.65,11.18,8,49614372161
2020-01-16T00:00:00.000Z,680972,9.92,6,0,8989.62,2,10.8,9.92,6,45898257241
2020-01-17T00:00:00.000Z,658121,10.71,7,0,13235.78,3,12,10.71,7,46430477832
2020-01-18T00:00:00.000Z,614366,10.8,7,0,3197.48,2,12.8,10.8,7,42790081803
2020-01-19T00:00:00.000Z,602414,10.43,7,0,62659.38,2,12,10.43,7,42475737484
2020-01-20T00:00:00.000Z,585776,9.66,6,0,4313.66,2,10,9.66,6,41608245885
2020-01-21T00:00:00.000Z,547468,9.57,6,0,4257.44,2,10.5,9.57,6,39718554969
2020-01-22T00:00:00.000Z,504302,9.94,5,0,7919.44,1.5,12,9.94,5,38699853546
2020-01-23T00:00:00.000Z,542932,8.98,5,0,28508.49,1.7,10,8.98,5,40435049963
2020-01-24T00:00:00.000Z,487578,8.32,3,0,5207.16,2,9,8.32,3,45957447878
2020-01-25T00:00:00.000Z,427906,7.53,2.4,0,42522.86,2,9,7.53,2.4,40073211767
2020-01-26T00:00:00.000Z,420675,7.35,2.4,0,1818,1.8,8,7.35,2.4,41031045219
2020-01-27T00:00:00.000Z,467263,8.63,4,0,42630.24,1.25,9,8.63,4,40649775331
2020-01-28T00:00:00.000Z,516590,8.45,3,0,20918.74,2,8.8,8.45,3,45675724859
2020-01-29T00:00:00.000Z,539418,8.59,4,0,6659.82,2,9,8.59,4,46486988195
2020-01-30T00:00:00.000Z,550727,9.02,4.4,0,10000,2,9,9.02,4.4,47046143415
2020-01-31T00:00:00.000Z,558016,9.12,4.08,0,3500,2,9,9.12,4.08,48494359064
2020-02-01T00:00:00.000Z,523825,9.38,4,0,4949.73,2,10,9.38,4,42305140652
2020-02-02T00:00:00.000Z,518531,9.09,4,0,3800,2,9.5,9.09,4,39922499552
2020-02-03T00:00:00.000Z,607290,9.92,6,0,5075,2,10.43,9.92,6,45501124649
2020-02-04T00:00:00.000Z,511390,11.79,8,0,4923.23,2.5,15,11.79,8,51244680633
2020-02-05T00:00:00.000Z,595924,12.43,8,0,234567.9,4,15,12.43,8,52188409331
2020-02-06T00:00:00.000Z,592974,12.98,8.8,0,27656.82,5,15.4,12.98,8.8,53671925926
2020-02-07T00:00:00.000Z,610157,13.11,8,0,46442.11,5,15.5,13.11,8,54450759567
2020-02-08T00:00:00.000Z,637410,11.83,7,0,99999,3,15,11.83,7,49123220594
2020-02-09T00:00:00.000Z,606286,11.35,6,0,47925.76,2.25,15,11.35,6,45008721825
2020-02-10T00:00:00.000Z,652443,11.36,8,0,24457.37,3,14,11.36,8,46600240135
2020-02-11T00:00:00.000Z,688345,11.28,6.05,0,21576.31,3,13.32,11.28,6.05,47217574043
2020-02-12T00:00:00.000Z,777995,12.71,8,0,7901.56,5,15.4,12.71,8,54488593805
2020-02-13T00:00:00.000Z,745784,13.39,9,0,8831.69,5,18,13.39,9,52685915495
2020-02-14T00:00:00.000Z,756107,12.7,8,0,2485.89,5,18,12.7,8,52132310022
2020-02-15T00:00:00.000Z,682482,13.21,8.8,0,44948.1,4,18,13.21,8.8,46799928671
2020-02-16T00:00:00.000Z,646440,12.25,8,0,2534.5,3,16,12.25,8,48222156332
2020-02-17T00:00:00.000Z,681631,12.03,8,0,47179.64,4,15,12.03,8,49707567408
2020-02-18T00:00:00.000Z,717631,11.25,7.09,0,101898.91,4,12,11.25,7.09,49508715307
2020-02-19T00:00:00.000Z,676092,12.12,8,0,153749.43,3.2,15,12.12,8,50348850251
2020-02-20T00:00:00.000Z,673963,11.88,8,0,5001,3.8,15,11.88,8,49689544606
2020-02-21T00:00:00.000Z,654207,9.58,5,0,44987.9,2,10,9.58,5,46950811937
2020-02-22T00:00:00.000Z,590775,10.47,5,0,22446.72,2,12.8,10.47,5,42162617868
2020-02-23T00:00:00.000Z,592862,13.11,8,0,4478.05,2,20,13.11,8,40422515220
2020-02-24T00:00:00.000Z,672282,12.22,7.2,0,7714.29,3,18,12.22,7.2,47462430231
2020-02-25T00:00:00.000Z,654287,11.68,7.5,0,7000,3.06,13.1,11.68,7.5,50243945717
