DATE,TRANSACTION_COUNT,AVG_GAS_PRICE_GWEI,MEDIAN_GAS_PRICE_GWEI,MIN_GAS_PRICE_GWEI,MAX_GAS_PRICE_GWEI,P25_GAS_PRICE_GWEI,P75_GAS_PRICE_GWEI,AVG_EFFECTIVE_GAS_PRICE_GWEI,MEDIAN_EFFECTIVE_GAS_PRICE_GWEI,TOTAL_GAS_USED
2020-01-01,456132,11.69,7.0,0.0,159015.0,3.0,15.0,11.69,7.0,36283514949
2020-01-02,489362,10.44,6.0,0.0,15731.83,2.0,12.0,10.44,6.0,36439087592
2020-01-03,572324,11.53,8.0,0.0,11287.46,2.0,16.0,11.53,8.0,41500600197
2020-01-04,550417,9.66,5.0,0.0,44948.1,1.5,12.0,9.66,5.0,37875377617
2020-01-05,514284,9.76,5.0,0.0,19790.28,1.5,12.0,9.76,5.0,37369316247
2020-01-06,616714,11.01,7.0,0.0,13224.22,2.0,15.0,11.01,7.0,42406981920
2020-01-07,635041,10.48,6.0,0.0,4724.76,2.0,12.0,10.48,6.0,43884758825
2020-01-08,640242,11.4,8.0,0.0,1287.13,3.0,15.0,11.4,8.0,45616161480
2020-01-09,607284,10.87,6.9,0.0,3176.12,2.0,13.0,10.87,6.9,40799268169
2020-01-10,591067,12.28,8.0,0.0,139338.15,3.0,15.18,12.28,8.0,44333039201
2020-01-11,536441,11.19,8.0,0.0,60000.0,2.0,14.1,11.19,8.0,39473812413
2020-01-12,512489,10.94,8.0,0.0,1848.38,2.0,12.0,10.94,8.0,37421252999
2020-01-13,553051,11.08,7.0,0.0,108000.0,2.0,12.0,11.08,7.0,43219751892
2020-01-14,657842,15.76,8.0,0.0,2056835.81,3.6,13.0,15.76,8.0,46506409708
2020-01-15,685142,11.18,8.0,0.0,35157.35,3.0,12.65,11.18,8.0,49614372161
2020-01-16,680972,9.92,6.0,0.0,8989.62,2.0,10.8,9.92,6.0,45898257241
2020-01-17,658121,10.71,7.0,0.0,13235.78,3.0,12.0,10.71,7.0,46430477832
2020-01-18,614366,10.8,7.0,0.0,3197.48,2.0,12.8,10.8,7.0,42790081803
2020-01-19,602414,10.43,7.0,0.0,62659.38,2.0,12.0,10.43,7.0,42475737484
2020-01-20,585776,9.66,6.0,0.0,4313.66,2.0,10.0,9.66,6.0,41608245885
2020-01-21,547468,9.57,6.0,0.0,4257.44,2.0,10.5,9.57,6.0,39718554969
2020-01-22,504302,9.94,5.0,0.0,7919.44,1.5,12.0,9.94,5.0,38699853546
2020-01-23,542932,8.98,5.0,0.0,28508.49,1.7,10.0,8.98,5.0,40435049963
2020-01-24,487578,8.32,3.0,0.0,5207.16,2.0,9.0,8.32,3.0,45957447878
2020-01-25,427906,7.53,2.4,0.0,42522.86,2.0,9.0,7.53,2.4,40073211767
2020-01-26,420675,7.35,2.4,0.0,1818.0,1.8,8.0,7.35,2.4,41031045219
2020-01-27,467263,8.63,4.0,0.0,42630.24,1.25,9.0,8.63,4.0,40649775331
2020-01-28,516590,8.45,3.0,0.0,20918.74,2.0,8.8,8.45,3.0,45675724859
2020-01-29,539418,8.59,4.0,0.0,6659.82,2.0,9.0,8.59,4.0,46486988195
2020-01-30,550727,9.02,4.4,0.0,10000.0,2.0,9.0,9.02,4.4,47046143415
2020-01-31,558016,9.12,4.08,0.0,3500.0,2.0,9.0,9.12,4.08,48494359064
2020-02-01,523825,9.38,4.0,0.0,4949.73,2.0,10.0,9.38,4.0,42305140652
2020-02-02,518531,9.09,4.0,0.0,3800.0,2.0,9.5,9.09,4.0,39922499552
2020-02-03,607290,9.92,6.0,0.0,5075.0,2.0,10.43,9.92,6.0,45501124649
2020-02-04,511390,11.79,8.0,0.0,4923.23,2.5,15.0,11.79,8.0,51244680633
2020-02-05,595924,12.43,8.0,0.0,234567.9,4.0,15.0,12.43,8.0,52188409331
2020-02-06,592974,12.98,8.8,0.0,27656.82,5.0,15.4,12.98,8.8,53671925926
2020-02-07,610157,13.11,8.0,0.0,46442.11,5.0,15.5,13.11,8.0,54450759567
2020-02-08,637410,11.83,7.0,0.0,99999.0,3.0,15.0,11.83,7.0,49123220594
2020-02-09,606286,11.35,6.0,0.0,47925.76,2.25,15.0,11.35,6.0,45008721825
2020-02-10,652443,11.36,8.0,0.0,24457.37,3.0,14.0,11.36,8.0,46600240135
2020-02-11,688345,11.28,6.05,0.0,21576.31,3.0,13.32,11.28,6.05,47217574043
2020-02-12,777995,12.71,8.0,0.0,7901.56,5.0,15.4,12.71,8.0,54488593805
2020-02-13,745784,13.39,9.0,0.0,8831.69,5.0,18.0,13.39,9.0,52685915495
2020-02-14,756107,12.7,8.0,0.0,2485.89,5.0,18.0,12.7,8.0,52132310022
2020-02-15,682482,13.21,8.8,0.0,44948.1,4.0,18.0,13.21,8.8,46799928671
2020-02-16,646440,12.25,8.0,0.0,2534.5,3.0,16.0,12.25,8.0,48222156332
2020-02-17,681631,12.03,8.0,0.0,47179.64,4.0,15.0,12.03,8.0,49707567408
2020-02-18,717631,11.25,7.09,0.0,101898.91,4.0,12.0,11.25,7.09,49508715307
2020-02-19,676092,12.12,8.0,0.0,153749.43,3.2,15.0,12.12,8.0,50348850251
2020-02-20,673963,11.88,8.0,0.0,5001.0,3.8,15.0,11.88,8.0,49689544606
2020-02-21,654207,9.58,5.0,0.0,44987.9,2.0,10.0,9.58,5.0,46950811937
2020-02-22,590775,10.47,5.0,0.0,22446.72,2.0,12.8,10.47,5.0,42162617868
2020-02-23,592862,13.11,8.0,0.0,4478.05,2.0,20.0,13.11,8.0,40422515220
2020-02-24,672282,12.22,7.2,0.0,7714.29,3.0,18.0,12.22,7.2,47462430231
2020-02-25,654287,11.68,7.5,0.0,7000.0,3.06,13.1,11.68,7.5,50243945717
2020-02-26,689630,13.68,9.0,0.0,8443.62,5.0,17.0,13.68,9.0,52238759095
2020-02-27,699628,11.81,8.0,0.0,6234.4,5.0,12.0,11.81,8.0,51644266054
2020-02-28,673112,11.86,7.5,0.0,106976.47,4.0,12.0,11.86,7.5,50088481246
2020-02-29,605475,10.11,5.7,0.0,34872.53,2.1,10.0,10.11,5.7,43817857158
2020-03-01,615803,10.43,6.0,0.0,8111.0,2.4,11.5,10.43,6.0,44430174688
2020-03-02,670347,10.09,6.0,0.0,38858.88,2.4,10.0,10.09,6.0,46723424045
2020-03-03,644090,10.84,6.0,0.0,8854.77,3.0,12.0,10.84,6.0,47539178916
2020-03-04,653053,10.96,8.0,0.0,10000.0,3.0,11.5,10.96,8.0,45393662019
2020-03-05,707591,11.58,8.0,0.0,11716.89,4.8,12.41,11.58,8.0,47907149768
2020-03-06,662121,11.25,8.0,0.0,133837.54,3.3,12.0,11.25,8.0,48741918829
2020-03-07,617504,11.02,8.0,0.0,27000.0,2.52,12.0,11.02,8.0,43626755097
2020-03-08,640430,13.13,8.0,0.0,37102.69,4.0,15.77,13.13,8.0,48760340600
2020-03-09,759385,14.27,10.0,0.0,6500.0,6.0,17.25,14.27,10.0,55247750921
2020-03-10,746254,11.58,8.0,0.0,126151.14,4.7,12.0,11.58,8.0,52593233379
2020-03-11,701486,12.9,9.0,0.0,10000.0,5.0,15.0,12.9,9.0,52525578985
2020-03-12,730420,76.4,45.0,0.0,20000.0,18.0,105.0,76.4,45.0,56806888512
2020-03-13,818840,85.16,40.0,0.0,7555792.5,20.0,100.0,85.16,40.0,56324340621
2020-03-14,666309,16.78,10.0,0.0,5000.0,4.4,19.23,16.78,10.0,52806086096
2020-03-15,636791,14.41,8.0,0.0,9974.11,3.95,12.0,14.41,8.0,52546226960
2020-03-16,763349,29.69,20.0,0.0,14975.76,8.0,43.0,29.69,20.0,55581285964
2020-03-17,745394,18.8,10.0,0.0,6840.17,5.1,20.0,18.8,10.0,54988122066
2020-03-18,753646,15.67,10.0,0.0,15600.0,4.6,16.0,15.67,10.0,53228172959
2020-03-19,845435,18.17,10.0,0.0,10560.0,5.1,20.0,18.17,10.0,54888534616
2020-03-20,805367,16.4,10.0,0.0,11270.74,6.0,17.41,16.4,10.0,54649331085
2020-03-21,836296,12.36,8.0,0.0,3100.0,5.0,10.0,12.36,8.0,52861832909
2020-03-22,720904,13.05,9.0,0.0,10289.0,5.0,10.0,13.05,9.0,49770843122
2020-03-23,782032,14.5,10.0,0.0,72886.32,5.0,15.0,14.5,10.0,50779415947
2020-03-24,770431,13.72,10.0,0.0,7505.86,5.0,12.9,13.72,10.0,50457062267
2020-03-25,747194,13.76,9.5,0.0,38635.47,5.0,13.0,13.76,9.5,50972501228
2020-03-26,754356,13.02,8.0,0.0,9356.46,4.0,11.14,13.02,8.0,51548892191
2020-03-27,729976,12.53,8.0,0.0,9873.56,3.0,11.0,12.53,8.0,49198884293
