DATE,AVG_GAS_PRICE_GWEI,MEDIAN_GAS_PRICE_GWEI,MIN_GAS_PRICE_GWEI,MAX_GAS_PRICE_GWEI,P25_GAS_PRICE_GWEI,P75_GAS_PRICE_GWEI,TRANSACTION_COUNT,SUCCESSFUL_TRANSACTIONS,AVG_GAS_USED,TOTAL_FEES_MATIC,AVG_EFFECTIVE_GAS_PRICE_GWEI,SUCCESS_RATE_PCT
2020-05-30T00:00:00.000Z,2.6875,1,0,31,1,1,16,16,662024,0.011222,2.6875,100
2020-06-12T00:00:00.000Z,0.625,1,0,1,0,1,8,8,20568,0.000165,0.625,100
2020-06-15T00:00:00.000Z,10.5,1,0,40,0.75,10.75,4,4,18948,0.000895,10.5,100
2020-06-16T00:00:00.000Z,1,1,1,1,1,1,1,1,31027,0.000031,1,100
2020-06-18T00:00:00.000Z,21.647059,31,0,40,1,33,17,17,20822,0.008743,21.647059,100
2020-06-19T00:00:00.000Z,25.605883,32,0,40.000001,31,33,17,17,20100,0.011327,25.605883,100
2020-06-20T00:00:00.000Z,12.931204,14.400001,0,32,0,14.400001,61,61,21871,0.023253,12.931204,100
2020-06-21T00:00:00.000Z,8.880001,14.400001,0,18,0,14.400001,15,15,22389,0.004912,8.880001,100
2020-06-23T00:00:00.000Z,10.800001,14.400001,0,14.400001,10.800001,14.400001,8,8,23414,0.002697,10.800001,100
2020-06-24T00:00:00.000Z,0,0,0,0,0,0,1,1,0,0,0,100
2020-06-27T00:00:00.000Z,45,45,45,45,45,45,1,1,21000,0.000945,45,100
2020-06-28T00:00:00.000Z,0,0,0,0,0,0,1,1,0,0,0,100
2020-06-29T00:00:00.000Z,1.6,0,0,14.400001,0,0,9,9,3455,0.000448,1.6,100
2020-06-30T00:00:00.000Z,9.600001,14.400001,0,14.400001,0,14.400001,18,16,718953,0.186353,9.600001,88.8889
2020-07-01T00:00:00.000Z,0,0,0,0,0,0,1,1,0,0,0,100
2020-07-02T00:00:00.000Z,9.600001,14.400001,0,14.400001,7.200001,14.400001,3,3,23009,0.000994,9.600001,100
2020-07-03T00:00:00.000Z,30.125,20,0,51,20,51,24,24,627335,0.334652,30.125,100
2020-07-04T00:00:00.000Z,21.6,35,0,38,0,35,5,2,13538,0.002437,21.6,40
2020-07-05T00:00:00.000Z,10,0,0,30,0,15,3,3,17283,0.001555,10,100
2020-07-06T00:00:00.000Z,25.125,28.6,0,29,28.6,28.7,8,8,133852,0.030705,25.125,100
2020-07-07T00:00:00.000Z,26.142857,20,0,41.000001,20,41,21,21,742782,0.346694,26.142857,100
2020-07-08T00:00:00.000Z,28.428571,20,0,69,20,35,7,7,253367,0.03713,28.428571,100
2020-07-09T00:00:00.000Z,6.953847,1,0,14.400001,1,14.400001,13,13,377086,0.007762,6.953847,100
2020-07-10T00:00:00.000Z,0,0,0,0,0,0,2,2,0,0,0,100
2020-07-11T00:00:00.000Z,13.111865,14.400001,0,32,14.400001,14.400001,59,59,66691,0.067012,13.111865,100
2020-07-12T00:00:00.000Z,16.3,18.700001,0,23,14.400001,23,12,12,35416,0.007291,16.3,100
2020-07-13T00:00:00.000Z,13.142857,23,0,23,0,23,7,7,24045,0.003871,13.142857,100
2020-07-14T00:00:00.000Z,0,0,0,0,0,0,6,6,0,0,0,100
2020-07-15T00:00:00.000Z,21.5,23,0,55,0,32.75,10,10,16032,0.005852,21.5,100
2020-07-16T00:00:00.000Z,10.172414,10,0,55,5,10,29,29,546103,0.157286,10.172414,100
2020-07-17T00:00:00.000Z,6.590909,10,0,10,5,10,22,22,541549,0.115398,6.590909,100
2020-07-18T00:00:00.000Z,5.25,5.5,0,10,0.75,10,4,4,15750,0.000441,5.25,100
2020-07-19T00:00:00.000Z,1.094757,1,0,53,1,1,1583,1582,101462,0.314598,1.094757,99.9368
2020-07-20T00:00:00.000Z,1.615782,1,0,41,1,1,1356,1356,96983,0.243732,1.615782,100
2020-07-21T00:00:00.000Z,2.307588,1,0,48,1,1,738,738,94884,0.153402,2.307588,100
