Date,Stablecoin,Circulation
2020-01-01,BUSD,0.0
2020-01-01,DAI,71452754.0
2020-01-01,TUSD,154640401.0
2020-01-01,USDC,518299097.0
2020-01-01,USDT,3202749166.0
2020-01-02,BUSD,0.0
2020-01-02,DAI,72589442.0
2020-01-02,TUSD,154223832.0
2020-01-02,USDC,516587818.0
2020-01-02,USDT,3204895789.0
2020-01-03,BUSD,0.0
2020-01-03,DAI,72924185.0
2020-01-03,TUSD,153474008.0
2020-01-03,USDC,521627838.0
2020-01-03,USDT,4294147033.0
2020-01-04,BUSD,0.0
2020-01-04,DAI,73695829.0
2020-01-04,TUSD,153631684.0
2020-01-04,USDC,520549127.0
2020-01-04,USDT,4288264296.0
2020-01-05,BUSD,0.0
2020-01-05,DAI,73860865.0
2020-01-05,TUSD,153422267.0
2020-01-05,USDC,520661606.0
2020-01-05,USDT,4292467245.0
2020-01-06,BUSD,0.0
2020-01-06,DAI,74421842.0
2020-01-06,TUSD,153732276.0
2020-01-06,USDC,519679187.0
2020-01-06,USDT,4286630972.0
2020-01-07,BUSD,0.0
2020-01-07,DAI,78187290.0
2020-01-07,TUSD,152765675.0
2020-01-07,USDC,515657544.0
2020-01-07,USDT,4290588237.0
2020-01-08,BUSD,0.0
2020-01-08,DAI,81230895.0
2020-01-08,TUSD,153117504.0
2020-01-08,USDC,491932121.0
2020-01-08,USDT,4284546040.0
2020-01-09,BUSD,0.0
2020-01-09,DAI,82077659.0
2020-01-09,TUSD,147842953.0
2020-01-09,USDC,471331498.0
2020-01-09,USDT,4279214688.0
2020-01-10,BUSD,0.0
2020-01-10,DAI,82132761.0
2020-01-10,TUSD,148039053.0
2020-01-10,USDC,463253104.0
2020-01-10,USDT,4292188135.0
2020-01-11,BUSD,0.0
2020-01-11,DAI,83684036.0
2020-01-11,TUSD,149483321.0
2020-01-11,USDC,460030776.0
2020-01-11,USDT,4293588919.0
2020-01-12,BUSD,0.0
2020-01-12,DAI,83455614.0
2020-01-12,TUSD,149602260.0
2020-01-12,USDC,450371032.0
2020-01-12,USDT,4278548733.0
2020-01-13,BUSD,0.0
2020-01-13,DAI,84818393.0
2020-01-13,TUSD,149989023.0
2020-01-13,USDC,450676907.0
2020-01-13,USDT,4286587067.0
2020-01-14,BUSD,0.0
2020-01-14,DAI,85859881.0
2020-01-14,TUSD,147365874.0
2020-01-14,USDC,448644444.0
2020-01-14,USDT,4287600786.0
2020-01-15,BUSD,0.0
2020-01-15,DAI,87656153.0
2020-01-15,TUSD,149153209.0
2020-01-15,USDC,433443720.0
2020-01-15,USDT,4283762714.0
2020-01-16,BUSD,0.0
2020-01-16,DAI,88036974.0
2020-01-16,TUSD,148306240.0
2020-01-16,USDC,453623188.0
2020-01-16,USDT,4291378507.0
2020-01-17,BUSD,0.0
2020-01-17,DAI,89602275.0
2020-01-17,TUSD,148307940.0
2020-01-17,USDC,449933768.0
2020-01-17,USDT,4283055659.0
2020-01-18,BUSD,0.0
2020-01-18,DAI,94854892.0
2020-01-18,TUSD,146025675.0
2020-01-18,USDC,446222086.0
2020-01-18,USDT,4285098207.0
2020-01-19,BUSD,0.0
2020-01-19,DAI,96158714.0
2020-01-19,TUSD,144548550.0
2020-01-19,USDC,445748199.0
2020-01-19,USDT,4283052539.0
2020-01-20,BUSD,0.0
2020-01-20,DAI,97050199.0
2020-01-20,TUSD,143815050.0
2020-01-20,USDC,446102981.0
2020-01-20,USDT,4287847816.0
2020-01-21,BUSD,0.0
2020-01-21,DAI,97618141.0
2020-01-21,TUSD,142832536.0
2020-01-21,USDC,446158706.0
2020-01-21,USDT,4286566966.0
2020-01-22,BUSD,0.0
2020-01-22,DAI,99095429.0
2020-01-22,TUSD,139762994.0
2020-01-22,USDC,448945612.0
2020-01-22,USDT,4288715246.0
2020-01-23,BUSD,0.0
2020-01-23,DAI,100399040.0
2020-01-23,TUSD,139570774.0
2020-01-23,USDC,459753178.0
2020-01-23,USDT,4288127505.0
2020-01-24,BUSD,0.0
2020-01-24,DAI,101071130.0
2020-01-24,TUSD,139390569.0
2020-01-24,USDC,450645684.0
2020-01-24,USDT,4284820038.0
2020-01-25,BUSD,0.0
2020-01-25,DAI,101648378.0
2020-01-25,TUSD,139725058.0
2020-01-25,USDC,451080998.0
2020-01-25,USDT,4294999700.0
2020-01-26,BUSD,0.0
2020-01-26,DAI,102021715.0
2020-01-26,TUSD,139967007.0
2020-01-26,USDC,450957210.0
2020-01-26,USDT,4288890023.0
2020-01-27,BUSD,0.0
2020-01-27,DAI,103009153.0
2020-01-27,TUSD,139539089.0
2020-01-27,USDC,450618381.0
2020-01-27,USDT,4290972872.0
2020-01-28,BUSD,0.0
2020-01-28,DAI,103974775.0
2020-01-28,TUSD,141414039.0
2020-01-28,USDC,447446356.0
2020-01-28,USDT,4282659170.0
2020-01-29,BUSD,0.0
2020-01-29,DAI,106340724.0
2020-01-29,TUSD,141673118.0
2020-01-29,USDC,448353788.0
2020-01-29,USDT,4300415338.0
2020-01-30,BUSD,0.0
2020-01-30,DAI,106189755.0
2020-01-30,TUSD,140647652.0
2020-01-30,USDC,449325692.0
2020-01-30,USDT,4281947841.0
2020-01-31,BUSD,0.0
2020-01-31,DAI,107751498.0
2020-01-31,TUSD,136105158.0
2020-01-31,USDC,443924160.0
2020-01-31,USDT,4283134661.0
2020-02-01,BUSD,0.0
2020-02-01,DAI,107548116.0
2020-02-01,TUSD,136192466.0
2020-02-01,USDC,442254653.0
2020-02-01,USDT,4282512545.0
2020-02-02,BUSD,0.0
2020-02-02,DAI,107871690.0
2020-02-02,TUSD,137417533.0
2020-02-02,USDC,440002983.0
2020-02-02,USDT,4284534501.0
2020-02-03,BUSD,0.0
2020-02-03,DAI,107169367.0
2020-02-03,TUSD,136469219.0
2020-02-03,USDC,439774122.0
2020-02-03,USDT,4290876142.0
2020-02-04,BUSD,0.0
2020-02-04,DAI,108125840.0
2020-02-04,TUSD,138709138.0
2020-02-04,USDC,438998196.0
2020-02-04,USDT,4296903610.0
2020-02-05,BUSD,0.0
2020-02-05,DAI,110939511.0
2020-02-05,TUSD,137827597.0
2020-02-05,USDC,437265012.0
2020-02-05,USDT,4284925056.0
2020-02-06,BUSD,0.0
2020-02-06,DAI,111878570.0
2020-02-06,TUSD,139285250.0
2020-02-06,USDC,428113980.0
2020-02-06,USDT,4286525869.0
2020-02-07,BUSD,0.0
2020-02-07,DAI,112836264.0
2020-02-07,TUSD,139560311.0
2020-02-07,USDC,428076592.0
2020-02-07,USDT,4285402776.0
2020-02-08,BUSD,0.0
2020-02-08,DAI,114227303.0
2020-02-08,TUSD,139553091.0
2020-02-08,USDC,425295770.0
2020-02-08,USDT,4288675899.0
2020-02-09,BUSD,0.0
2020-02-09,DAI,114339537.0
2020-02-09,TUSD,140064162.0
2020-02-09,USDC,422858523.0
2020-02-09,USDT,4288687148.0
2020-02-10,BUSD,0.0
2020-02-10,DAI,116085855.0
2020-02-10,TUSD,140048395.0
2020-02-10,USDC,427889587.0
2020-02-10,USDT,4309514119.0
