date,chain,tvl
2020-01-01,ethereum,601701867
2020-01-02,ethereum,601198865
2020-01-03,ethereum,595731705
2020-01-04,ethereum,603750634
2020-01-05,ethereum,605661602
2020-01-06,ethereum,609287026
2020-01-07,ethereum,622172924
2020-01-08,ethereum,609559287
2020-01-09,ethereum,632508229
2020-01-10,ethereum,589337524
2020-01-11,ethereum,587331284
2020-01-12,ethereum,610271864
2020-01-13,ethereum,592606554
2020-01-14,ethereum,612161674
2020-01-15,ethereum,648121636
2020-01-16,ethereum,709101170
2020-01-17,ethereum,688455746
2020-01-18,ethereum,727833279
2020-01-19,ethereum,715125228
2020-01-20,ethereum,709147954
2020-01-21,ethereum,682674590
2020-01-22,ethereum,716289646
2020-01-23,ethereum,713357831
2020-01-24,ethereum,700701613
2020-01-25,ethereum,691953257
2020-01-26,ethereum,688439990
2020-01-27,ethereum,695368228
2020-01-28,ethereum,721237228
2020-01-29,ethereum,752172808
2020-01-30,ethereum,767083372
2020-01-31,ethereum,768291137
2020-02-01,ethereum,780089896
2020-02-02,ethereum,790985821
2020-02-03,ethereum,813019346
2020-02-04,ethereum,801555544
2020-02-05,ethereum,794332435
2020-02-06,ethereum,827168316
2020-02-07,ethereum,862859357
2020-02-08,ethereum,891867111
2020-02-09,ethereum,898215104
2020-02-10,ethereum,899205196
2020-02-11,ethereum,852237091
2020-02-12,ethereum,890435288
2020-02-13,ethereum,969514500
2020-02-14,ethereum,994491767
2020-02-15,ethereum,1025829160
2020-02-16,ethereum,1044998934
2020-02-17,ethereum,997895960
2020-02-18,ethereum,944760378
2020-02-19,ethereum,994025847
2020-02-20,ethereum,967214335
2020-02-21,ethereum,875556843
2020-02-22,ethereum,903820068
2020-02-23,ethereum,907003750
2020-02-24,ethereum,933716822
2020-02-25,ethereum,939655070
2020-02-26,ethereum,909766783
2020-02-27,ethereum,829300640
2020-02-28,ethereum,820907123
2020-02-29,ethereum,796619688
2020-03-01,ethereum,818677422
2020-03-02,ethereum,811907583
2020-03-03,ethereum,803462128
2020-03-04,ethereum,827496346
2020-03-05,ethereum,809779133
2020-03-06,ethereum,827020769
2020-03-07,ethereum,839846481
2020-03-08,ethereum,855084137
2020-03-09,ethereum,806621321
2020-03-10,ethereum,737708618
2020-03-11,ethereum,739064284
2020-03-12,ethereum,745764104
2020-03-13,ethereum,521885377
2020-03-14,ethereum,495648953
2020-03-15,ethereum,496053621
2020-03-16,ethereum,475705061
2020-03-17,ethereum,403199242
2020-03-18,ethereum,444316855
2020-03-19,ethereum,438291405
2020-03-20,ethereum,470111288
2020-03-21,ethereum,527800179
2020-03-22,ethereum,488111653
2020-03-23,ethereum,480763441
2020-03-24,ethereum,469801447
2020-03-25,ethereum,511079221
2020-03-26,ethereum,511477431
2020-03-27,ethereum,517795799
2020-03-28,ethereum,521215877
2020-03-29,ethereum,507857121
2020-03-30,ethereum,506184778
2020-03-31,ethereum,518576577
2020-04-01,ethereum,528352610
2020-04-02,ethereum,533232018
2020-04-03,ethereum,548181423
2020-04-04,ethereum,575314001
2020-04-05,ethereum,565385776
2020-04-06,ethereum,568509955
2020-04-07,ethereum,590239790
2020-04-08,ethereum,639228103
2020-04-09,ethereum,626242580
2020-04-10,ethereum,629157254
2020-04-11,ethereum,582519705
2020-04-12,ethereum,587335338
2020-04-13,ethereum,583617075
2020-04-14,ethereum,578405264
2020-04-15,ethereum,585402831
2020-04-16,ethereum,672492858
2020-04-17,ethereum,616820970
2020-04-18,ethereum,624610550
2020-04-19,ethereum,640725075
2020-04-20,ethereum,672240212
2020-04-21,ethereum,656912899
2020-04-22,ethereum,638385488
2020-04-23,ethereum,661857855
2020-04-24,ethereum,673446071
2020-04-25,ethereum,685632694
2020-04-26,ethereum,696296810
2020-04-27,ethereum,697359253
2020-04-28,ethereum,704927248
2020-04-29,ethereum,715457278
2020-04-30,ethereum,760982584
2020-05-01,ethereum,749851933
2020-05-02,ethereum,761085709
2020-05-03,ethereum,766028230
2020-05-04,ethereum,781202255
2020-05-05,ethereum,744371417
2020-05-06,ethereum,746289169
2020-05-07,ethereum,784707296
2020-05-08,ethereum,766727405
2020-05-09,ethereum,783708318
2020-05-10,ethereum,788301526
2020-05-11,ethereum,741270085
2020-05-12,ethereum,717986155
2020-05-13,ethereum,710924967
2020-05-14,ethereum,722512450
2020-05-15,ethereum,740465186
2020-05-16,ethereum,728686910
2020-05-17,ethereum,733111824
2020-05-18,ethereum,745186581
2020-05-19,ethereum,762191772
2020-05-20,ethereum,824462465
2020-05-21,ethereum,838136760
